Organization Type**Supports the college access and success sector,Organization Type**Direct service,Survey number,Organization number,Response ID,Phone,Email,Organization name,Program Name,Program description,Address - Line 1,Address - Line 2,Address - City,Address - State,Address - Postal code,Boroughs Served**Brooklyn,Boroughs Served**Bronx,Boroughs Served**Manhattan,Boroughs Served**Queens,Boroughs Served**Staten Island,Neighborhoods**Brooklyn - Bay Ridge,Neighborhoods**Brooklyn - Bedford Stuyvesant,Neighborhoods**Brooklyn - Bensonhurst,Neighborhoods**Brooklyn - Borough Park,Neighborhoods**Brooklyn - Brownsville,Neighborhoods**Brooklyn - Bushwick,Neighborhoods**Brooklyn - Canarsie,Neighborhoods**Brooklyn - Coney Island,Neighborhoods**Brooklyn - Crown Heights North,Neighborhoods**Brooklyn - Crown Heights South,Neighborhoods**Brooklyn - East Flatbush,Neighborhoods**Brooklyn - East New York,Neighborhoods**Brooklyn - Flatbush/Midwood,Neighborhoods**Brooklyn - Fort Greene/Brooklyn Heights,Neighborhoods**Brooklyn - Park Slope,Neighborhoods**Brooklyn - Sheepshead Bay,Neighborhoods**Brooklyn - Sunset Park,Neighborhoods**Brooklyn - Williamsburg/Greenpoint,Neighborhoods**Bronx - Bedford Park,Neighborhoods**Bronx - Concourse/Highbridge,Neighborhoods**Bronx - East Tremont,Neighborhoods**Bronx - Hunts Point,Neighborhoods**Bronx - Morrisania,Neighborhoods**Bronx - Mott Haven,Neighborhoods**Bronx - Pelham Parkway,Neighborhoods**Bronx - Riverdale,Neighborhoods**Bronx - Throgs Neck,Neighborhoods**Bronx - Unionport/Soundview,Neighborhoods**Bronx - University Heights,Neighborhoods**Bronx - Williamsbridge,Neighborhoods**Manhattan - Battery Park/Tribeca,Neighborhoods**Manhattan - Central Harlem,Neighborhoods**Manhattan - Chelsea/Clinton,Neighborhoods**Manhattan - East Harlem,Neighborhoods**Manhattan - Greenwich Village,Neighborhoods**Manhattan - Lower East Side,Neighborhoods**Manhattan - Manhattanville,Neighborhoods**Manhattan - Midtown Business District,Neighborhoods**Manhattan - Murray Hill/Stuyvesant,Neighborhoods**Manhattan - Upper East Side,Neighborhoods**Manhattan - Upper West Side,Neighborhoods**Manhattan - Washington Heights,Neighborhoods**Queens - Astoria,Neighborhoods**Queens - Bayside,Neighborhoods**Queens - Elmhurst/Corona,Neighborhoods**Queens - Flushing,Neighborhoods**Queens - Fresh Meadows/Briarwood,Neighborhoods**Queens - Howard Beach,Neighborhoods**Queens - Jackson Heights,Neighborhoods**Queens - Jamaica/St. Albans,Neighborhoods**Queens - Queens Village,Neighborhoods**Queens - Rego Park/Forest Hills,Neighborhoods**Queens - Ridgewood/Glendale,Neighborhoods**Queens - Sunnyside/Woodside,Neighborhoods**Queens - The Rockaways,Neighborhoods**Queens - Woodhaven,Neighborhoods**Staten Island - South Beach,Neighborhoods**Staten Island - St. George,Neighborhoods**Staten Island - Tottenville,Education Levels Served**Elementary school (K-5),Education Levels Served**Middle school (6-8),Education Levels Served**High school (9-12),Education Levels Served**Post-secondary school,Education Levels Served**Adult learners and High School Equivalency,Targeted Populations Served**Academic performance level-Low,Targeted Populations Served**Academic performance level-Average,Targeted Populations Served**Academic performance level-High,Targeted Populations Served**English language learners,Targeted Populations Served**Disconnected youth/Out of school youth,Targeted Populations Served**Students with IEP or other learning challenges,Targeted Populations Served**High school equivalency (HSE),Targeted Populations Served**Justice involved youth,Targeted Populations Served**Immigrants/Refugees,Services Provided**College Readiness,Services Provided**College Matriculation,Services Provided**College Retention,Services Provided**Career Preparation,Services Provided2**College Readiness (Academic behaviors),Services Provided2**College Readiness (ACT/SAT/PSAT preparation),Services Provided2**College Readiness (College campus visits),Services Provided2**College Readiness (College exploration),Services Provided2**College Readiness (Tutoring/Academic support),Services Provided2**College Readiness (Any),Services Provided2**College Matriculation (College application help),Services Provided2**College Matriculation (Financial Aid),Services Provided2**College Matriculation (Placement test prep),Services Provided2**College Matriculation (Any),Services Provided2**College Retention (Academic/Degree planning),Services Provided2**College Retention (Connecting students to campus resources),Services Provided2**College Retention (Connecting students to off-campus resources),Services Provided2**College Retention (Course registration),Services Provided2**College Retention (Major selection),Services Provided2**College Retention (Mentoring),Services Provided2**College Retention (Support services related to college Retention),Services Provided2**College Retention (Tutoring),Services Provided2**College Retention (Non-academic skills),Services Provided2**College Retention (Financial support/incentives),Services Provided2**College Retention (Financial Aid reapplication),Services Provided2**College Retention (Any),Services Provided2**Career Preparation (Career counseling),Services Provided2**Career Preparation (Resume and interview skills),Services Provided2**Career Preparation (Any),Eligibility Criteria**K-12 enrollment,Eligibility Criteria**College enrollment,Eligibility Criteria**Grade level,Eligibility Criteria**Geographic residence,Eligibility Criteria**Member of a targeted population,Enrollment Type**Open Enrollment,Enrollment Type**Limited Enrollment,Enrollment Type**Closed Program,School Partnerships,CBO Latitude,CBO Longitude
0,1,1,104,40997850,646-257-2936,chilyard@newyorkersforchildren.org,New Yorkers For Children,Guardian Scholars ,"We serve college students at participating CUNY colleges by providing wraparound services that include financial stipends (not counted toward financial aid), tuition assistance for summer and winter session courses, monthly meetings with a dedicated advisor, and financial assistance for books.",450 7th Ave., Suite 403,New York,NY,10123,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,"Hunter College, John Jay College, Kingsborough Community College ",40.751441,-73.990675
0,1,1,48,41729966,212-362-4020,drivera@dfoy.org,"Directions for Our Youth, Inc. (DFOY)",,"We serve three NYC boroughs, 12 neighborhoods, with the largest concentration in the Bronx. A large part of our mission is to help our participants become active citizens in their communities. This mission can be exemplified in one of our recent DFOY graduates.  ",349 E. 149th St., Suite 501,Bronx,NY,10451,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"MS 181, PS 180, PS 204, PS 498, MS498, St. Ignatius Beacon 219, St. Aloysius",40.816885,-73.919695
0,1,1,101,43321677,212-732-0054 Ext.139,abhattacharya@nyawc.org,New York Asian Women's Center,One Again: Sexual Violence Services Program,"'One Again' is NYAWC's sexual violence support program. We offer advocacy, confidential counseling, and integrated holistic wellness services, free of cost, to any survivor of sexual violence at any point in their lifespan. We serve any survivor, irrespective of age, ethnicity, gender identification, and sexual orientation. We also have legal staff that work with survivors on immigration relief. Our staff speak 18+ Asian languages and our confidential helpline runs 24/7 to provide crisis support: 1-888-888-7702.",32 Broadway,10th Floor,New York,NY,10004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.705795,-74.012726
0,1,1,157,45458970,646-683-9813,kcontreras@whedco.org,WHEDco,WHEDco Teen Program,"We have a structured program where each student is to attend tutoring for 1 hour Monday through Thursday. In the hour of tutoring, our college advisor helps students with their college applications as well as SAT prep. On Mondays and Wednesdays, each student has access to 1 hour of recreation. On Tuesdays and Thursdays, we have workshops and presentations from different organizations on different topics (i.e. Fire safety, CPR, the fundamentals of savings, etc.). On Fridays we take the students out on trips.  ",50 East 168th Street,1240 Gerard Avenue,Bronx,NY,10452,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,"All Hallows High School, Aquinas High School, Bard High School, Bronx Academy of Letters, Bronx Design and Construction, Bronx Leadership Academy, Bronx School for Law Government and Justice, Cardinal Hayes High School, Cardinal Spellman, Cristo Rey New York High, Eagle Academy for Young Men, Fieldston High School, Manhattan Early College for Advertising, Metropolitan Soundview High School, Mott Hall High School, NYC Museum School, NYC iSchool, Richard R. Green High School, St. Jeans Baptiste High School, Urban Assembly for Careers in Sports World View High School, Urban Assembly for Green Careers, Urban Assembly for Media Studies",40.836228,-73.919611
0,1,1,27,53104010,(347) 447-6450,Jbristol@collegesummit.org ,"College Summit, Inc. ",Peer Forward,Empowering a team of students to embrace their potential to be leaders in their schools and communities as a result impacting their peers to improve the College going culture at their school. ,85 Broad Street,18th floor,New York,NY,10004,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,"American Sign Language High School, Bronx, Engineering & Technology Academy, Brooklyn Collegiate High School, Brooklyn Technical High School, Cobble Hill School of American Studies, Fordham Leadership Academy High School, Global Citizenship High School, Gregorio Luperon High School, Life Academy for Film & Music High School, The Heritage Academy High School, Humanities and the Arts Magnet High School,  Independence High School, Math, Research Science & Technology High School, NYC Charter High School for Architecture Engineering and Construction Industries, Pathways College Preparatory High School, Queens Preparatory Academy, Rachel Carson High School, Transit Technical High School",40.703992,-74.011092
0,1,1,26,52916268,(718) 982-2638,debra.evans@csi.cuny.edu,College of Staten Island,Science and Technology Entry Program (STEP) / Collegiate Science and Technology Entry Program (CSTEP) and Black Male Initiative,"The STEP, and CSTEP program are funded through NYSED and the BMI program is funded through City Council and CUNY. All programs are housed at the College of Staten Island, and services historically underrepresented and economically disadvantage students interested in STEM and or Teacher Education. Our programs provides mentoring, Tutoring, Leadership training, SAT/PSAT prep, internships and access to various opportunities in the STEM fields.",2800 Victory Boulevard ,1A 310,Staten Island,NY,10314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,"Berta A. Dreyfus Intermediate School 49, CSI High School for International Studies, Curtis High School, Eagle Academy, I.S. 51 Edwin Markham, New Dorp High School, Port Richmond High School, Susan E. Wagner High School",40.599661,-74.149765
0,1,1,75,51334483,212-293-5488,tcazeau@ihaveadreamny.org,'I Have A Dream' Foundation - NY,'I Have A Dream' Foundation - NY,"The mission of the &ldquo;I Have A Dream&rdquo; Foundation - New York (IHDF-NY) is to motivate and empower children living in low-income communities to reach their educational and career potential by providing a long-term program of academic support, mentoring, enrichment and tuition assistance for higher education.",330 Seventh Avenue,20th Floor,New York,NY,10001,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,PS 7,40.747773,-73.993365
0,1,1,89,40511669,646-808-2765,swright@letsgetready.org,Let's Get Ready,Let's Get Ready Access Program,"We serve students from throughout the city, drawing students from almost all of these neighborhoods.",50 Broadway,25th Floor,New York,NY,10004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,"Barnard, Borough of Manhattan Community College, Bronx Academy of Letters, Bronx Community College, The City College of New York, Columbia University, Fordham Leadership Academy for Business and Technology, Fordham University,  Frederick Douglass Academy, High School for Health Professions and Human Services, Hostos Community College, Long Island City High School, Macaulay Honors College Martin Van Buren High School, New York City College of Technology, NYU, Queens College, York College",40.706242,-74.012451
0,1,1,113,42487967,718-991-8400,jhatton@perscholas.org,Per Scholas,IT-Support,"We offer free, comprehensive, IT Technician training, certification, and job placement to any resident living within the 5 Boroughs of NYC.  ",804 E 138th Street,2nd Floor,Bronx,NY,10454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,,40.803387,-73.910410
0,1,1,17,50953807,718-282-5575,ChristieH@camba.org,"CAMBA, Inc.",Collegiate Express / Leading to College / Learning to Work,"?CAMBA's Career and College Preparation programs help nearly 450 high school students and out-of-school youth earn their high school diplomas, prepare for college life, build financial literacy skills, gain meaningful work experience and explore new career opportunities.



Through support from dedicated CAMBA staff including career advisors, counselors, tutors and parent coaches, participants are able to create realistic and sustainable plans for the future and achieve personal and professional goals.",1720 Church Ave,2nd Floor,Brooklyn,NY,11226,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,"Brooklyn Academy High School, Brownsville Academy High School, Cascades High School, Liberation Diploma Plus High School, Professional Pathways High School, School for Democracy and Leadership, South Shore Educational Complex, Young Adult Borough Center @ Erasmus",40.649091,-73.963370
