org name,brooklyn,bronx,manhattan,queens,statenisland,brooklyn neighborhoods,bronx neighborhoods,manhattan neighborhoods,queens neighborhoods,staten island neighborhoods,accepting - open,accepting - limited,accepting - closed,target population,grades served,services offered,response id,orgphone,addressone,addresstwo,city,state,zip,program description
HEALTH for Youths,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",TRUE,FALSE,FALSE,"Academic Performance,Disconnected youth/Out of school youth,Poverty guidelines/socioeconomic status,Justice involved youth,First generation college students,Racial or ethnic minorities,Gender","Elementary school (K-5),Middle school (6-8),High School (9-12),College,","College Readiness,College Matriculation,College Retention,Career Preparation,",43877276,347-489-3060,PO Box 3620440,,New York,NY,10129,We provide students with the tools they need to succeed in college and beyond. 
Baruch College STEP Academy,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,TRUE,FALSE,",Racial or ethnic minorities,",",Middle school (6-8),High School (9-12),","College Readiness,",43797826,646-312-4298,55 Lexington Avenue,"Baruch College, B5-243",New York,NY,10010,"The STEP Academy at Baruch College is a science education and college preparation program that aims to build excitement around studying the sciences for the STEP-target population and to prepare these historically underrepresented or economically disadvantaged secondary school students for entry into postsecondary degree programs in scientific, technical, health related fields and the licensed professions. The STEP Academy is funded by the New York State Education Department."
Harlem Center for Education,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",TRUE,FALSE,FALSE,",High school equivalency,First generation college students,",,",College Matriculation,",45270396,646-524-5563,1 E. 104th Street,Rm. 303,New York,NY,10029,"The Harlem Center for Education's Educational Opportunity Center provides low-income adults throughout New York City with free college access services. Our services include college admissions and financial aid application assistance, career counseling, academic advising, and adult education classes. "
CUNY Black Male Initiative,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",TRUE,FALSE,FALSE,",High school equivalency,Justice involved youth,Racial or ethnic minorities,",",College,","College Readiness,College Matriculation,College Retention,Career Preparation,",43863940,646-664-8852,555 W 57th St ,Suite 1401,New York,NY,10462,"The CUNY Black Male Initiative is a University-wide student development initiative with more than 30 projects focused on increasing matriculation, retention and graduation rates of underrepresented students, particularly men of color. CUNY BMI is one expression of CUNY\'s commitment to access and diversity. CUNY BMI projects are open to all academically eligible students, faculty and staff, without regard for race, gender or national origin."
Children\'s Defense Fund,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,FALSE,",Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,Gender",",High School (9-12),","College Readiness,College Matriculation,College Retention,Career Preparation,",41411270,212-697-1683,15 Maiden Lane,Suite 1200,New York,NY,10038,"The CDF-New York Beat the Odds® scholarship program provides social and academic college readiness programming to high school students that are working hard to overcome tremendous obstacles in their personal lives, who demonstrate academic achievement, and give back to their community.



Ten sophomores will be selected from the nomination pool, and will have the opportunity to apply for scholarships provided by the Children\'s Defense Fund-New York during their senior year."
Sponsors for Educational Opportunity (SEO) Scholars,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,TRUE,FALSE,"Academic Performance,Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",High School (9-12),College,","College Readiness,College Matriculation,College Retention,",41147216,646-435-9591 ,55 Exchange Pl. ,St 502,New York ,NY,10005,SEO Scholars is a free eight-year academic program that gets low-income public high school students to and through college.
Cooper Union Saturday Program,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,FALSE,,",High School (9-12),","College Readiness,Career Preparation,",45312653,212-353-4108,7 East 7th Street,,New York,NY,10003,"Saturday Program was founded by Cooper undergrads in 1968. Today it enrolls over 200 NYC public HS students in intensive, full day Saturday classes in: Graphics, Drawing, Painting, Sculpture, Architecture, Sound Composition & Portfolio Preparation. Classes run from October-April. Writing workshops are integrated within the visual curricula & college counseling and support are provided to all seniors & juniors, with 85-90% of students accepted to colleges. All instruction & materials are free."
Management Leadership for Tomorrow (MLT),TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,TRUE,FALSE,",First generation college students,Racial or ethnic minorities,",",College,",",Career Preparation,",41074521,,5335 Wisconsin Avenue NW,Suite 805,Washington,DC,20015,"Rising Leaders: Undergraduate juniors and seniors from 100+ colleges and universities nation-wide. 



Objective: Prepare under-represented minority students with solid academic track records for success in fast-track entry-level jobs at top employers.



Program Highlights: Each Rising Leader has a dedicated relationship with an MLT Coach, who works with the Rising Leader to gain personal clarity around how their strengths and passions translate to career goals, and to understand 'the bar' for high performance within their chosen career path. Rising Leaders and coaches build personalized career roadmaps to ensure that each Rising Leader is prepared to meet or exceed the bar by the end of the program. Rising Leaders attend in-person workshops hosted and facilitated by MLT's corporate partners, and receive insight and guidance from the MLT network of over 4,000 other Rising Leaders and many more volunteer executives.  



Results: Over 95% internship and full-time placement rate at top organizations across a variety of sectors."
PENCIL,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,TRUE,TRUE,",First generation college students,Racial or ethnic minorities,Gender","Elementary school (K-5),Middle school (6-8),High School (9-12),","College Readiness,College Matriculation,Career Preparation,",44426572,646-638-0565,30 West 26th Street,5th Floor,New York,NY,10010,"PENCIL works at the intersection of school needs and business expertise to bring together the best ideas, talent, and resources across sectors to improve public student and school performance and enhance workforce pathways.  PENCIL partners NYC businesses with a NYC public school to improve their capacity to help students reach their college and career goals.	Business volunteers have valuable experience with what is required to succeed in college and careers; they have knowledge and skills that schools and students need. PENCIL works with business leaders to provide access to workplace experiences, college and career planning, and professional skills.  PENCIL staff provides hands-on support to each school and business to create a college & career partnership that meets their needs, has clearly established goals and expectations, and has a positive impact on students and schools. PENCIL'S toolkit of codified resources and curricula can be adapted based on the expertise of volunteers."
New York Asian Women's Center,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,FALSE,",English language learners,Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",College,",,43321677,212-732-0054 x139,32 BROADWAY,10TH FLOOR,New York,NY,10004,"'ONE AGAIN' IS NYAWC'S SEXUAL VIOLENCE SUPPORT PROGRAM - WE OFFER ADVOCACY, CONFIDENTIAL COUNSELING AND INTEGRATED HOLISTIC WELLNESS SERVICES, FREE OF COST, TO ANY SURVIVOR OF SEXUAL VIOLENCE AT ANY POINT IN THEIR LIFESPAN. WE SERVE ANY SURVIVOR, IRRESPECTIVE OF AGE, ETHNICITY, GENDER IDENTIFICATION AND SEXUAL ORIENTATION. WE ALSO HAVE LEGAL STAFF THAT WORK WITH SURVIVORS ON IMMIGRATION RELIEF. OUR STAFF SPEAK 18+ ASIAN LANGUAGES AND OUR CONFIDENTIAL HELPLINE RUNS 24/7 TO PROVIDE CRISIS SUPPORT: 1.888.888.7702"
